count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,74221244,11784,10550.54,1233.46,4,1233.46,0.00,0.60,12119,10551,1568,-0.31,125,49903,21453,13705,7186,6700,4518,4068,6182,3432,3209,2957,1820,1798,1978,2222,1171,2670,1457,1169,1388,1241,1214,1178,1073,1056,1048,1049,874,1053,807,1011,852,484,896,691,654,647,688,601,0,0
1,74221343,11764,10550.54,1213.46,4,1223.46,10.00,0.60,12119,10551,1568,-0.32,129,44869,21256,15614,6753,6253,2856,2289,5119,3113,3577,2823,1582,1968,1735,2192,1057,2307,1421,1163,1457,1147,972,1065,1045,893,831,944,877,827,752,839,751,304,870,541,611,596,602,616,0,0
2,74221428,11762,10550.54,1211.46,4,1219.46,9.93,0.60,12119,10551,1568,-0.31,78,39061,18597,14876,4187,7790,3658,3344,5693,3109,3059,2071,1752,1876,1182,1966,836,1870,1205,1095,1013,772,869,804,786,760,773,621,811,609,738,699,675,270,768,505,562,533,450,440,0,0
3,74221512,11773,10550.54,1222.46,4,1220.21,8.70,0.60,12119,10551,1568,-0.31,86,32125,13240,10612,5022,5917,3474,2620,4269,2414,2476,3386,2440,2115,1350,2204,860,1694,1282,1266,897,1022,1002,1136,1055,849,789,814,704,679,863,727,765,415,728,670,598,559,613,593,0,0
4,74221606,11786,10550.54,1235.46,4,1223.26,9.89,0.60,12119,10551,1568,-0.32,137,26732,9266,8252,6575,3857,2675,2264,3672,1783,1812,2959,1906,1508,812,1711,804,1290,773,807,932,829,591,673,683,561,529,646,475,497,617,468,597,409,463,499,342,361,378,386,0,0
5,74221698,11815,10550.54,1264.46,4,1230.13,17.81,0.60,12119,10551,1568,-0.34,161,23312,9076,9253,5600,4486,2806,2361,2024,2442,2150,1894,1537,1218,1324,1955,876,1005,962,888,1306,747,689,860,831,529,544,450,608,569,554,457,639,565,334,472,413,429,401,414,0,0
6,74221789,11834,10550.54,1283.46,4,1237.75,24.90,0.60,12119,10551,1568,-0.36,127,22503,11997,11494,4400,4833,4165,3262,2793,1796,1240,2340,1820,1267,1688,2188,1126,699,1035,856,887,908,838,800,917,872,754,731,783,654,508,499,734,743,409,423,511,456,525,508,0,0
7,74221871,11834,10550.54,1283.46,4,1243.46,27.77,0.60,12119,10551,1568,-0.37,90,24755,15957,12503,6790,3339,3222,2074,2239,2807,2271,1794,1319,1031,1139,1792,939,592,665,700,895,1017,743,744,768,576,670,856,665,590,429,432,707,771,462,380,429,417,382,386,0,0
8,74221955,11824,10550.54,1273.46,4,1246.79,27.83,0.60,12119,10551,1568,-0.38,118,28176,18580,11331,8124,2768,2730,2304,2234,1990,2201,1243,1134,1167,875,1508,906,851,596,795,1229,705,618,658,752,719,531,513,427,471,441,365,677,716,453,366,292,342,340,365,0,0
9,74222044,11819,10550.54,1268.46,4,1248.96,27.19,0.60,12119,10551,1568,-0.38,151,32015,19192,8909,6881,2929,3155,1591,1725,2700,1779,1642,1451,1582,1140,1260,800,987,653,921,1389,473,565,416,637,561,524,529,430,382,476,333,643,650,432,373,301,289,345,267,0,0
