count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,75036656,11426,10546.11,879.89,4,879.89,0.00,0.60,11845,10546,1299,-0.13,107,32417,13738,7508,3564,3200,3005,1039,955,1631,941,1348,2087,1265,486,332,876,509,573,616,313,288,286,345,407,401,287,306,226,265,244,296,368,130,335,251,266,255,253,199,0,0
1,75036734,11425,10546.11,878.89,4,879.39,0.50,0.60,11845,10546,1299,-0.13,98,30815,12310,8583,4196,3791,4068,1872,1276,2426,1325,949,1529,1279,755,604,1106,583,709,585,436,382,363,479,239,485,243,402,263,333,157,342,370,184,335,299,183,181,196,208,0,0
2,75036834,11405,10546.11,858.89,4,872.56,9.67,0.60,11845,10546,1299,-0.14,140,28545,10102,8580,3622,2951,4097,1793,884,1995,829,1105,1656,1027,933,727,1126,659,741,841,533,542,403,377,569,367,385,302,321,318,219,367,361,235,283,277,262,253,258,239,0,0
3,75036919,11400,10546.11,853.89,4,867.89,11.64,0.60,11845,10546,1299,-0.14,70,27373,8825,8601,3223,2160,3735,1333,891,2210,1131,1070,1101,1436,595,539,950,519,461,679,383,460,279,244,647,218,338,249,206,256,264,224,273,239,292,273,165,194,225,233,0,0
4,75037004,11396,10546.11,849.89,4,864.29,12.66,0.60,11845,10546,1299,-0.14,37,28421,8002,9669,3448,1943,2311,1631,1411,2564,1054,1376,1440,1751,864,672,987,529,558,734,531,586,455,419,350,455,524,316,370,372,268,258,337,302,410,365,298,324,316,233,0,0
5,75037104,11385,10546.11,838.89,4,860.06,14.94,0.60,11845,10546,1299,-0.14,102,31434,7122,10091,3850,3575,4162,2564,1888,3149,2120,1269,2069,1423,1375,961,1154,599,783,1130,705,620,627,630,865,554,538,595,628,577,380,441,517,435,569,466,508,439,381,427,0,0
6,75037173,11397,10546.11,850.89,4,858.75,14.20,0.60,11845,10546,1299,-0.13,104,35193,7346,8486,4729,4504,4593,2306,2318,2813,1530,1660,1675,1109,1587,1066,1124,519,826,1302,722,740,688,625,487,616,601,553,551,556,416,500,585,435,543,427,482,424,476,426,0,0
7,75037273,11406,10546.11,859.89,4,858.89,13.29,0.60,11845,10546,1299,-0.13,162,38030,8011,5558,4611,3169,3278,1887,1595,3090,1399,1686,855,1292,1591,1076,1132,442,846,1156,782,831,701,690,878,628,624,497,429,393,416,471,577,384,439,407,379,449,432,372,0,0
8,75037358,11410,10546.11,863.89,4,859.44,12.62,0.60,11845,10546,1299,-0.13,118,39675,8269,3774,2850,3094,4231,1733,1961,2299,1482,925,1010,1507,1397,1038,1143,511,859,773,747,600,541,481,589,450,447,582,532,370,431,432,564,330,316,397,350,344,343,343,0,0
9,75037453,11410,10546.11,863.89,4,859.89,12.05,0.60,11845,10546,1299,-0.13,173,40056,7686,5113,3244,4293,3629,1900,1659,3252,1201,1540,1547,1530,900,988,1125,596,849,478,550,533,535,568,901,529,483,492,599,453,462,413,575,321,293,397,400,337,451,338,0,0
10,75037536,11422,10546.11,875.89,4,861.34,12.38,0.60,11845,10546,1299,-0.13,148,39193,6477,7035,4835,3888,3205,1905,2116,2267,1448,1782,1432,989,803,780,930,535,669,550,442,652,554,511,611,410,466,450,324,415,350,262,464,216,252,280,315,332,290,269,0,0
11,75037621,11435,10553.90,881.10,1,881.10,0.00,0.60,11845,10546,1299,-0.13,118,37447,5083,7618,5005,2713,3666,1426,1705,2809,1402,1224,921,771,1080,712,789,497,429,708,545,519,357,463,833,441,409,632,373,447,354,232,434,210,314,254,257,299,328,275,0,0
12,75037705,11432,11208.54,223.46,1,552.28,328.82,0.60,11845,10546,1299,-0.47,105,34668,4070,6136,3155,3899,2180,1922,2230,2464,1099,1308,943,1032,1523,817,791,576,363,886,711,523,613,687,554,469,480,523,550,442,421,305,400,205,355,251,237,208,356,228,0,0
13,75037806,11437,11325.44,111.56,2,111.56,0.00,0.60,11845,10546,1299,0.86,56,32110,3830,4364,2923,4397,2238,1602,1686,2631,873,1152,745,846,1493,615,562,455,460,723,537,516,520,505,597,313,385,395,457,272,343,301,243,145,230,165,187,227,263,206,0,0
14,75037892,11438,11325.44,112.56,2,112.06,0.50,0.60,11845,10546,1299,0.86,69,30489,3705,3536,3047,4312,2242,1372,1720,2540,487,889,390,577,1237,394,365,302,476,681,524,455,545,472,568,192,303,355,394,164,269,283,140,161,138,135,143,205,232,165,0,0
15,75037975,11424,11325.44,98.56,2,107.56,6.38,0.60,11845,10546,1299,0.85,104,29110,3118,3816,2494,4869,2352,1272,1493,2103,754,1029,583,561,999,533,313,260,496,580,460,383,578,448,586,171,295,339,347,109,250,315,107,153,76,148,125,157,181,189,0,0
