count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,76374581,10779,10703.40,75.60,4,75.60,0.00,0.60,10832,10703,129,0.02,146,7939,4203,812,1001,158,160,362,266,253,154,253,188,82,176,151,39,232,124,111,73,78,131,123,81,122,42,35,104,109,65,174,44,95,94,87,131,44,36,76,0,0
1,76374665,10778,10703.40,74.60,4,75.10,0.50,0.60,10832,10703,129,0.02,180,7992,4241,695,876,199,286,287,196,339,160,291,193,99,155,145,28,254,126,132,84,93,140,127,82,114,44,23,109,108,65,159,33,85,61,48,134,62,58,51,0,0
2,76374750,10779,10703.40,75.60,4,75.26,0.47,0.60,10832,10703,129,0.01,91,7983,4361,544,870,224,344,214,191,315,167,265,155,98,168,186,68,258,91,106,75,69,158,83,98,130,49,41,84,128,73,159,27,85,49,30,131,76,61,50,0,0
3,76374835,10781,10703.40,77.60,4,75.85,1.09,0.60,10832,10703,129,-0.01,103,7928,4477,494,909,179,347,192,181,327,146,235,137,98,174,206,91,277,68,90,80,90,201,79,121,104,47,30,92,113,99,141,30,84,58,24,144,89,73,52,0,0
4,76374935,10782,10703.40,78.60,4,76.40,1.47,0.60,10832,10703,129,-0.02,52,7727,4537,640,778,323,475,243,195,414,180,255,216,178,182,160,78,350,99,107,95,122,185,68,137,109,91,63,145,107,162,173,68,116,48,50,154,95,115,80,0,0
5,76375013,10782,10703.40,78.60,4,76.76,1.57,0.60,10832,10703,129,-0.03,73,7165,4342,1004,647,624,469,462,290,423,240,323,271,189,255,170,107,426,162,109,93,89,236,120,192,122,68,65,147,55,196,187,93,124,39,56,174,112,74,55,0,0
6,76375098,10784,10703.40,80.60,4,77.31,1.98,0.60,10832,10703,129,-0.05,51,6496,3883,1266,938,659,336,314,269,448,187,199,170,136,244,182,80,417,152,68,87,98,244,85,186,72,90,74,103,64,191,181,92,108,49,52,144,77,111,80,0,0
7,76375200,10784,10703.40,80.60,4,77.72,2.15,0.60,10832,10703,129,-0.06,129,6043,3493,1316,1084,531,270,291,188,402,168,221,194,170,185,187,79,378,111,62,73,89,221,82,196,74,66,54,113,89,160,152,91,113,40,42,136,62,123,85,0,0
8,76375283,10785,10703.40,81.60,4,78.15,2.36,0.60,10832,10703,129,-0.07,97,5868,3361,1507,1324,324,383,444,302,277,251,164,134,160,199,180,156,344,136,63,88,122,175,102,224,110,89,78,82,73,177,155,80,139,35,61,130,41,136,63,0,0
9,76375367,10786,10703.40,82.60,4,78.60,2.61,0.60,10832,10703,129,-0.08,121,5849,3260,1931,1631,697,621,609,460,581,379,407,291,219,350,198,285,359,211,103,154,161,238,149,210,122,108,131,153,147,236,219,91,196,79,111,91,65,86,91,0,0
10,76375468,10787,10703.40,83.60,4,79.05,2.87,0.60,10832,10703,129,-0.09,78,5874,2960,2260,1501,1312,840,727,661,566,499,518,525,423,499,257,398,380,241,135,169,150,296,172,292,186,173,149,240,235,259,278,104,232,101,107,114,94,162,107,0,0
11,76375552,10783,10714.98,68.02,1,68.02,0.00,0.60,10832,10703,129,0.12,136,5895,2593,2224,1158,1286,831,790,580,591,477,341,484,492,502,263,404,361,155,190,197,241,188,238,225,186,168,163,180,213,190,264,61,192,75,99,187,127,177,129,0,0
12,76375637,10780,10780.56,0.56,2,0.56,0.00,0.60,10832,10703,129,0.99,158,5854,2254,1892,944,829,534,430,428,425,333,357,359,328,329,247,355,242,150,167,159,205,173,171,199,105,115,149,129,124,133,213,72,152,69,113,196,114,131,105,0,0
13,76375731,10775,10780.56,5.56,2,3.06,2.50,0.60,10832,10703,129,0.90,173,5842,2095,1716,851,577,349,268,371,377,202,295,337,268,256,237,322,135,180,123,120,191,153,144,179,53,80,129,108,91,125,169,97,144,59,112,208,114,99,84,0,0
14,76375815,10773,10780.56,7.56,2,4.56,2.94,0.60,10832,10703,129,0.87,191,6027,2251,1682,927,567,289,353,215,212,253,364,238,293,278,228,325,107,179,148,154,162,176,183,141,76,68,128,100,71,115,137,122,158,31,125,229,110,107,58,0,0
15,76375900,10771,10780.56,9.56,2,5.81,3.34,0.60,10832,10703,129,0.85,106,6579,2661,1469,872,857,463,355,410,407,263,366,337,239,287,168,308,99,150,177,143,140,115,140,173,89,92,77,156,65,77,149,120,152,34,139,207,98,91,70,0,0
