FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
266,8674,1091,5735,4479,1410,2173,1337,1797,937,1518,998,762,576,805,747,669,726,804,266,678,356,317,389,471,273,493,612,342,487,538,444,457,855,396,499,242,237,495,299,0,0
244,9828,2245,4892,3957,1743,2210,1461,1720,1189,1452,1077,706,678,691,796,825,745,907,339,630,439,388,441,485,320,474,746,340,422,572,393,471,959,446,463,267,285,459,299,0,0
300,11717,4069,4331,3670,1983,2124,1719,1829,1304,1327,1307,824,771,648,836,1047,784,958,455,633,484,440,459,586,372,472,830,437,410,547,349,477,1056,522,451,303,319,449,313,0,0
392,14098,6219,4219,3595,2233,2066,1702,2049,1388,1340,1405,909,808,715,791,1174,886,883,564,658,570,487,472,617,415,482,881,518,429,504,319,446,1065,593,449,298,318,371,320,0,0
471,16452,8011,4582,3584,2216,2204,1634,2165,1316,1279,1343,886,808,846,663,1181,969,742,570,637,550,494,470,597,432,422,934,588,470,453,285,390,986,569,484,315,356,396,332,0,0
602,18370,8822,5058,3709,2087,1942,1636,2228,1253,1136,1498,935,982,1044,543,1213,1098,677,575,656,526,480,462,563,436,421,893,624,537,460,264,349,839,503,500,369,390,410,366,0,0
671,19634,8387,4788,3919,2316,2023,1511,2172,1218,1156,1402,848,1087,1094,466,1180,1153,672,503,604,492,439,425,494,454,413,828,627,524,532,236,320,645,437,471,420,395,379,364,0,0
750,20165,6961,4282,4091,2367,1969,1471,2013,1159,1173,1262,803,1065,1010,502,1154,1174,743,421,532,443,429,421,450,455,377,812,653,479,585,213,328,465,412,420,439,400,394,353,0,0
697,20050,5399,3861,4294,2297,1846,1321,1768,1091,1106,1240,842,974,859,581,1138,1148,812,436,525,450,449,428,430,506,428,745,674,448,597,187,356,346,438,360,442,373,339,330,0,0
644,19455,4293,3849,4559,2343,1918,1097,1628,978,1141,1012,787,737,644,632,1027,972,775,452,531,415,401,399,426,509,452,657,709,456,553,163,370,294,470,293,430,324,281,272,0,0
620,18805,3873,4469,4298,2285,1897,964,1349,968,1099,946,827,617,592,623,891,791,664,476,541,405,371,420,360,476,474,610,679,490,519,165,383,304,475,237,399,318,254,251,0,0
